#{"t_start": 1719614991.6370544, "env_id": "CTFENVMA_sb3"}
r,l,t,c,f,p,a
-1.0,138,167.903762,0,9.736407,2.895192,127_1_1_4_2_0_3_0_0_0_0_0_0_0_
-1.0,138,169.601143,0,8.020127,2.370717,127_1_3_1_2_1_2_1_0_0_0_0_0_0_
-1.0,127,171.30437,0,23.64723,2.289871,117_1_1_0_1_2_4_1_0_0_0_0_0_0_
-1.0,102,172.527297,0,15.724145,2.738694,94_1_2_0_1_1_1_2_0_0_0_0_0_0_
-1.0,172,174.609005,0,35.291775,2.322873,158_1_3_3_4_2_1_0_0_0_0_0_0_0_
-1.0,116,176.020087,0,31.594223,2.077489,107_0_2_1_0_1_3_2_0_0_0_0_0_0_
-1.0,112,177.416178,0,11.605901,2.467724,103_2_1_1_2_0_2_1_0_0_0_0_0_0_
-1.0,138,179.195549,0,7.981536,2.569836,127_2_0_2_2_2_2_1_0_0_0_0_0_0_
-1.0,161,183.031262,0,24.255566,2.115636,148_2_2_3_4_1_1_0_0_0_0_0_0_0_
-1.0,188,185.295203,0,0.884846,2.476347,173_2_3_3_2_2_2_1_0_0_0_0_0_0_
-1.0,113,186.692003,0,19.870615,2.79043,104_1_1_2_0_1_2_2_0_0_0_0_0_0_
-1.0,161,188.737394,0,24.709848,1.254617,148_3_4_2_1_1_1_1_0_0_0_0_0_0_
-1.0,154,190.594774,0,26.211855,2.439589,142_1_0_2_3_1_4_1_0_0_0_0_0_0_
-1.0,152,192.422119,0,23.573395,2.42894,140_1_1_0_3_3_3_1_0_0_0_0_0_0_
-1.0,149,194.211833,0,35.676384,2.210205,137_2_1_2_2_3_1_1_0_0_0_0_0_0_
-1.0,152,196.216274,0,1.058849,2.429043,140_2_1_2_3_0_3_1_0_0_0_0_0_0_
-1.0,203,198.71277,0,3.636964,1.750812,187_1_4_1_5_0_3_2_0_0_0_0_0_0_
-1.0,139,200.414483,0,1.596215,2.511537,128_2_1_2_1_2_2_1_0_0_0_0_0_0_
-1.0,164,202.43581,0,19.832819,2.673731,151_0_3_1_4_1_2_2_0_0_0_0_0_0_
-1.0,168,204.570829,0,18.420303,2.522029,155_1_1_3_1_2_4_1_0_0_0_0_0_0_
-1.0,151,206.618409,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,208.350492,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,210.125977,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,211.797852,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,213.523499,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,215.20485,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,217.004611,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,218.722807,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,220.443451,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,151,222.176754,0,20.105959,2.673679,139_0_3_0_4_0_4_1_0_0_0_0_0_0_
-1.0,124,223.793456,0,27.402113,2.187654,114_3_0_3_2_1_0_1_0_0_0_0_0_0_
-1.0,129,227.317318,0,21.570641,2.592159,119_1_0_2_1_2_4_0_0_0_0_0_0_0_
-1.0,129,228.907507,0,17.649183,2.477504,119_2_1_0_1_1_3_2_0_0_0_0_0_0_
-1.0,152,230.802873,0,1.214214,2.439684,140_2_1_3_1_1_3_1_0_0_0_0_0_0_
-1.0,174,233.001785,0,4.029763,2.282441,160_2_1_4_3_1_3_0_0_0_0_0_0_0_
-1.0,192,235.316438,0,17.894144,2.793387,177_0_2_3_5_2_3_0_0_0_0_0_0_0_
-1.0,129,236.918171,0,17.313694,2.799689,119_1_1_2_3_0_2_1_0_0_0_0_0_0_
-1.0,198,239.315796,0,3.354062,1.685577,182_2_4_2_3_1_2_2_0_0_0_0_0_0_
-1.0,112,240.790864,0,25.279394,3.018407,103_0_2_3_1_1_0_2_0_0_0_0_0_0_
-1.0,168,242.88645,0,19.488199,2.530823,155_1_1_3_3_1_2_2_0_0_0_0_0_0_
-1.0,141,244.640608,0,5.5358,2.764189,130_2_0_1_3_2_3_0_0_0_0_0_0_0_
-1.0,150,246.510237,0,24.778036,2.58348,138_1_1_3_2_1_2_2_0_0_0_0_0_0_
-1.0,164,248.638219,0,29.421555,1.388071,152_2_3_3_2_0_2_0_0_0_0_0_0_0_
-1.0,168,250.682908,0,16.894371,2.666541,155_1_1_3_2_1_3_2_0_0_0_0_0_0_
-1.0,189,254.823667,0,15.015209,2.586065,174_0_3_2_4_2_3_1_0_0_0_0_0_0_
-1.0,214,257.543859,0,2.478643,1.393692,197_1_4_4_4_1_2_1_0_0_0_0_0_0_
-1.0,152,259.451062,0,10.154578,2.935781,140_0_3_2_3_2_2_0_0_0_0_0_0_0_
-1.0,160,261.419056,0,3.273849,2.683628,147_1_2_2_4_2_2_0_0_0_0_0_0_0_
-1.0,191,263.774956,0,18.349188,2.706645,176_1_1_2_5_2_3_1_0_0_0_0_0_0_
-1.0,273,267.171413,0,1.623384,1.290071,251_0_4_8_6_0_2_2_0_0_0_0_0_0_
-1.0,189,269.470295,0,6.613428,2.321065,174_1_2_3_3_3_1_2_0_0_0_0_0_0_
-1.0,175,271.680504,0,6.721407,2.068894,161_1_2_4_4_0_2_1_0_0_0_0_0_0_
-1.0,181,274.046469,0,17.575994,1.279404,166_2_4_4_4_0_1_0_0_0_0_0_0_0_
-1.0,158,276.042958,0,17.833527,1.850829,145_2_2_2_5_2_0_0_0_0_0_0_0_0_
-1.0,177,278.231773,0,22.741037,2.904275,163_0_2_4_5_0_2_1_0_0_0_0_0_0_
-1.0,136,279.963561,0,17.01284,2.504944,125_1_2_3_2_0_1_2_0_0_0_0_0_0_
-1.0,143,283.654959,0,22.286772,2.324732,132_1_1_1_2_1_4_1_0_0_0_0_0_0_
-1.0,174,285.797568,0,30.640501,1.849385,160_2_1_3_6_0_2_0_0_0_0_0_0_0_
-1.0,217,288.473886,0,7.09954,2.435761,200_1_1_4_7_2_2_0_0_0_0_0_0_0_
-1.0,102,289.728207,0,8.145621,2.878009,94_2_1_1_1_1_1_1_0_0_0_0_0_0_
0.0,671,297.730517,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,304.996258,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,312.376692,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,319.646343,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,326.99032,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,334.406622,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,342.029162,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,349.481301,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,357.084419,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,364.420842,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
-1.0,174,366.561028,0,6.7512,2.104248,160_1_3_4_2_1_2_1_0_0_0_0_0_0_
-1.0,200,369.123643,0,21.630108,2.585985,184_0_2_4_3_3_4_0_0_0_0_0_0_0_
-1.0,177,371.266006,0,30.749636,2.443819,163_0_1_2_4_3_3_1_0_0_0_0_0_0_
-1.0,194,373.635135,0,30.104933,2.240612,179_0_2_2_4_1_4_2_0_0_0_0_0_0_
-1.0,130,375.219424,0,6.440673,2.210448,120_0_0_3_2_0_4_1_0_0_0_0_0_0_
-1.0,178,377.469412,0,24.318104,2.772474,164_0_2_2_4_2_4_0_0_0_0_0_0_0_
-1.0,215,380.083811,0,6.705333,2.012916,198_1_2_4_5_1_3_1_0_0_0_0_0_0_
