#{"t_start": 1719614991.6370544, "env_id": "CTFENVMA_sb3"}
r,l,t,c,f,p,a
0.0,671,1074.033048,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1081.103558,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1088.326377,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1095.563826,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1102.812153,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1110.715956,0,50.293095,2.454355,648_0_0_8_11_3_1_0_0_0_0_0_0_0_
-1.0,523,1140.976398,0,20.815897,2.689388,500_0_0_7_11_3_2_0_0_0_0_0_0_0_
0.0,671,1148.689186,0,47.274174,2.340691,653_0_2_4_9_1_2_0_0_0_0_0_0_0_
-1.0,290,1152.239869,0,20.696667,2.456072,268_0_0_7_9_3_2_1_0_0_0_0_0_0_
-1.0,344,1156.343885,0,10.143736,1.877496,321_0_1_9_10_0_2_1_0_0_0_0_0_0_
0.0,671,1165.836144,0,44.958332,2.224583,650_0_1_8_9_2_1_0_0_0_0_0_0_0_
-1.0,499,1171.719462,0,4.242117,0.000269,483_1_2_2_6_2_2_1_0_0_0_0_0_0_
-1.0,223,1174.313875,0,31.394739,1.869586,205_1_1_6_9_0_1_0_0_0_0_0_0_0_
0.0,671,1181.787825,0,39.161572,2.451665,653_1_1_4_8_3_1_0_0_0_0_0_0_0_
0.0,671,1193.613673,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1200.542233,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1207.725429,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1214.747527,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1221.778372,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1228.797523,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1235.926775,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1242.794245,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1249.586316,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,1256.418092,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
-1.0,602,1265.57095,0,20.323503,0.008,584_0_2_3_7_2_3_1_0_0_0_0_0_0_
-1.0,237,1268.450339,0,1.127776,2.179325,224_2_1_2_4_0_3_1_0_0_0_0_0_0_
0.0,671,1276.367333,0,37.809586,0.006227,654_1_1_5_7_1_2_0_0_0_0_0_0_0_
-1.0,217,1279.113976,0,23.450994,1.68234,200_1_3_5_6_2_0_0_0_0_0_0_0_0_
-1.0,239,1282.038556,0,33.81179,2.083553,221_1_2_4_8_2_1_0_0_0_0_0_0_0_
-1.0,625,1291.04666,0,6.125702,2.324809,605_1_0_6_8_4_1_0_0_0_0_0_0_0_
-1.0,229,1293.861127,0,12.243108,1.27684,212_3_0_7_6_1_0_0_0_0_0_0_0_0_
0.0,671,1301.393124,0,35.033394,0.007262,653_1_2_6_5_2_2_0_0_0_0_0_0_0_
0.0,671,1318.483757,0,52.623463,2.561141,653_0_1_5_8_2_2_0_0_0_0_0_0_0_
0.0,671,1326.208144,0,42.217628,2.087533,651_0_2_5_10_2_1_0_0_0_0_0_0_0_
0.0,671,1335.225695,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1342.338772,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1349.327716,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1356.24339,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1363.067937,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1369.891051,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1376.700027,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1383.739541,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1390.799946,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1397.818473,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1405.520831,0,44.971863,2.335684,651_0_1_7_9_2_1_0_0_0_0_0_0_0_
-1.0,222,1408.256832,0,27.398951,1.866267,204_1_2_5_8_1_1_0_0_0_0_0_0_0_
0.0,671,1417.621591,0,47.279396,2.207903,653_0_2_5_8_1_2_0_0_0_0_0_0_0_
0.0,671,1425.032735,0,41.872665,2.79204,655_1_1_2_7_4_1_0_0_0_0_0_0_0_
0.0,671,1432.597886,0,47.554245,2.573454,650_0_1_6_10_3_1_0_0_0_0_0_0_0_
0.0,671,1442.066139,0,50.293095,2.463554,648_0_0_8_11_3_1_0_0_0_0_0_0_0_
0.0,671,1449.944288,0,50.145729,2.46214,649_0_1_6_10_4_1_0_0_0_0_0_0_0_
0.0,671,1457.841815,0,47.273682,2.43145,653_0_2_5_8_1_2_0_0_0_0_0_0_0_
0.0,671,1466.018371,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1473.11044,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1480.150925,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1487.090843,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1493.948606,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1501.08478,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1508.217429,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1515.326349,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1522.439474,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
0.0,671,1529.619812,0,703.03186,2.684117,663_0_0_4_4_0_0_0_0_0_0_0_0_0_
-1.0,271,1532.899421,0,7.019616,2.30909,254_1_1_3_7_2_2_1_0_0_0_0_0_0_
-1.0,207,1537.077335,0,26.798283,1.504197,191_2_2_4_6_0_2_0_0_0_0_0_0_0_
0.0,671,1544.673349,0,47.547474,2.33804,648_0_1_8_10_3_1_0_0_0_0_0_0_0_
0.0,671,1552.353183,0,46.831009,2.543879,655_1_1_2_7_3_2_0_0_0_0_0_0_0_
0.0,671,1561.790381,0,41.815262,2.448687,653_1_1_3_8_4_1_0_0_0_0_0_0_0_
-1.0,127,1563.310197,0,22.678146,2.284237,117_3_0_0_4_2_1_0_0_0_0_0_0_0_
0.0,671,1571.124002,0,50.050266,2.793561,653_0_2_2_8_5_1_0_0_0_0_0_0_0_
-1.0,570,1577.924107,0,29.923937,2.227845,549_0_0_3_9_7_2_0_0_0_0_0_0_0_
0.0,671,1587.523959,0,39.135368,2.324071,651_1_1_5_9_3_1_0_0_0_0_0_0_0_
0.0,671,1600.206913,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1607.234867,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1614.335879,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1621.422151,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1628.587645,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1635.800517,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1643.029276,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1650.221087,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1657.243764,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1664.466729,0,406.063782,2.228525,655_0_0_8_8_0_0_0_0_0_0_0_0_0_
0.0,671,1684.484763,0,69.087418,0.00535,656_0_1_3_4_4_2_1_0_0_0_0_0_0_
0.0,671,1692.282278,0,55.272419,3.012259,653_0_1_4_8_3_2_0_0_0_0_0_0_0_
0.0,671,1701.906185,0,52.74435,2.726954,650_0_1_4_10_5_1_0_0_0_0_0_0_0_
0.0,671,1709.746052,0,55.495876,2.911139,649_0_0_6_10_5_1_0_0_0_0_0_0_0_
0.0,671,1717.552166,0,47.553387,2.34101,650_0_1_7_9_3_1_0_0_0_0_0_0_0_
-1.0,211,1739.225533,0,30.952066,2.091931,195_2_0_3_8_2_1_0_0_0_0_0_0_0_
0.0,671,1746.941498,0,42.12402,2.467403,656_0_3_2_6_3_1_0_0_0_0_0_0_0_
0.0,671,1754.694788,0,39.330231,1.979513,652_0_4_4_7_3_1_0_0_0_0_0_0_0_
0.0,671,1762.846208,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1769.834957,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1776.709038,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1783.465287,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1790.242879,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1797.088814,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1804.137579,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1811.120115,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1818.137849,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
0.0,671,1825.144874,0,546.331299,2.443485,665_0_3_0_3_0_0_0_0_0_0_0_0_0_
-1.0,254,1828.19079,0,34.101074,1.636796,234_0_4_6_8_1_1_0_0_0_0_0_0_0_
0.0,671,1837.698739,0,47.425636,2.55753,652_0_2_4_8_4_1_0_0_0_0_0_0_0_
-1.0,186,1839.86729,0,28.512091,2.065651,172_1_3_1_7_1_1_0_0_0_0_0_0_0_
0.0,671,1847.351439,0,39.622574,1.993609,651_0_2_6_10_1_1_0_0_0_0_0_0_0_
0.0,671,1854.777978,0,44.249313,2.447371,655_1_1_3_7_2_2_0_0_0_0_0_0_0_
-1.0,315,1860.534621,0,3.361308,2.44098,296_1_1_3_9_4_1_0_0_0_0_0_0_0_
0.0,671,1868.278367,0,38.920017,2.561964,658_1_2_1_6_1_2_0_0_0_0_0_0_0_
0.0,671,1876.119674,0,48.629269,0.002832,651_0_2_5_8_3_2_0_0_0_0_0_0_0_
0.0,671,1885.863449,0,49.866024,2.321918,652_0_2_4_9_2_2_0_0_0_0_0_0_0_
0.0,671,1895.727514,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1902.574692,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1909.408192,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1916.237297,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1923.361299,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1930.604021,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1937.764612,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1944.995009,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1952.168067,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1959.301929,0,549.036682,1.97983,659_0_2_6_4_0_0_0_0_0_0_0_0_0_
0.0,671,1984.505042,0,47.422924,2.441944,651_0_2_4_9_4_1_0_0_0_0_0_0_0_
0.0,671,1992.412026,0,43.057991,0.007618,656_1_1_2_6_3_2_0_0_0_0_0_0_0_
-1.0,453,1999.622108,0,15.518226,2.800842,434_0_1_6_8_2_2_0_0_0_0_0_0_0_
0.0,671,2007.542954,0,35.225349,0.00456,654_1_1_5_8_0_2_0_0_0_0_0_0_0_
0.0,671,2015.336525,0,44.809479,2.445316,650_0_2_5_10_3_1_0_0_0_0_0_0_0_
-1.0,204,2017.844425,0,26.805981,1.618337,188_2_1_5_6_0_2_0_0_0_0_0_0_0_
0.0,671,2041.616349,0,51.36861,0.007762,649_0_1_6_10_3_2_0_0_0_0_0_0_0_
0.0,671,2049.612497,0,48.799763,0.007218,651_0_1_6_9_2_2_0_0_0_0_0_0_0_
-1.0,304,2053.354355,0,17.967287,2.218741,284_0_1_6_7_3_2_1_0_0_0_0_0_0_
0.0,671,2060.818243,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2068.058239,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2075.289571,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2082.231393,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2089.345597,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2096.326785,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2103.619547,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2110.763762,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2117.845691,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2125.086548,0,480.305786,2.342299,657_0_0_7_7_0_0_0_0_0_0_0_0_0_
0.0,671,2133.087137,0,47.547474,2.345105,648_0_1_8_10_3_1_0_0_0_0_0_0_0_
0.0,671,2164.933184,0,46.178505,0.000513,649_0_1_8_10_1_2_0_0_0_0_0_0_0_
-1.0,221,2167.686709,0,34.000553,1.960253,204_1_1_6_7_1_1_0_0_0_0_0_0_0_
0.0,671,2175.511909,0,42.3741,2.116028,650_0_1_8_10_1_1_0_0_0_0_0_0_0_
0.0,671,2185.207916,0,40.684067,0.005136,651_0_3_6_8_1_2_0_0_0_0_0_0_0_
-1.0,186,2187.554911,0,24.046457,1.482949,171_2_2_4_5_0_2_0_0_0_0_0_0_0_
0.0,671,2195.40732,0,40.103893,0.007166,656_1_2_3_6_0_3_0_0_0_0_0_0_0_
0.0,671,2203.037555,0,45.165371,0.004943,654_1_3_5_5_1_1_1_0_0_0_0_0_0_
0.0,671,2226.94599,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2234.084411,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2241.247101,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2248.518509,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2255.725081,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2262.626156,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2269.607805,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2276.687536,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2283.876304,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2291.05053,0,466.531067,1.268855,658_0_5_6_2_0_0_0_0_0_0_0_0_0_
0.0,671,2299.006662,0,53.710545,0.002541,653_0_2_4_7_2_3_0_0_0_0_0_0_0_
-1.0,232,2301.897429,0,29.650669,1.073964,213_1_5_5_6_0_2_0_0_0_0_0_0_0_
0.0,671,2309.779754,0,35.017422,0.001518,652_1_3_6_6_1_2_0_0_0_0_0_0_0_
0.0,671,2342.109208,0,35.159199,0.001332,651_1_2_7_8_0_2_0_0_0_0_0_0_0_
0.0,671,2350.197982,0,40.541294,0.008347,652_1_0_7_8_1_2_0_0_0_0_0_0_0_
0.0,671,2358.113295,0,45.520256,0.007699,657_1_1_3_5_1_3_0_0_0_0_0_0_0_
-1.0,209,2360.711921,0,26.767839,1.488203,192_2_1_6_6_0_2_0_0_0_0_0_0_0_
-1.0,167,2362.740698,0,14.964348,1.974271,154_3_0_3_5_2_0_0_0_0_0_0_0_0_
0.0,671,2372.304179,0,36.262951,1.82712,655_1_2_4_7_0_2_0_0_0_0_0_0_0_
-1.0,206,2374.74203,0,29.578098,1.780172,191_2_1_4_6_0_2_0_0_0_0_0_0_0_
0.0,671,2383.744071,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2390.674214,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2397.634925,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2404.937251,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2412.306766,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2419.588579,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2426.691365,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2434.004533,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2441.070674,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2448.008735,0,400.552582,1.752282,655_0_2_8_6_0_0_0_0_0_0_0_0_0_
0.0,671,2464.561581,0,43.13483,0.001791,653_0_4_3_6_3_2_0_0_0_0_0_0_0_
-1.0,222,2467.262434,0,33.316402,1.503622,204_2_1_6_7_0_2_0_0_0_0_0_0_0_
0.0,671,2476.815002,0,39.012337,2.318426,657_1_2_3_5_1_2_0_0_0_0_0_0_0_
0.0,671,2484.832366,0,53.843636,0.006078,652_0_1_5_9_1_3_0_0_0_0_0_0_0_
0.0,671,2492.631916,0,44.235954,2.221229,655_1_1_3_7_2_2_0_0_0_0_0_0_0_
0.0,671,2524.351836,0,51.528652,0.001145,649_0_0_8_10_2_2_0_0_0_0_0_0_0_
0.0,671,2532.213767,0,40.841396,0.002095,650_0_2_8_9_0_2_0_0_0_0_0_0_0_
0.0,671,2540.158352,0,42.860214,0.005106,654_1_1_5_7_0_3_0_0_0_0_0_0_0_
0.0,671,2548.387869,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2555.456851,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2562.447173,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2569.510062,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2576.499896,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2583.842555,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2591.186445,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2598.262092,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2605.405143,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2612.605416,0,554.547852,2.456073,659_0_0_6_6_0_0_0_0_0_0_0_0_0_
0.0,671,2644.710403,0,59.17754,0.005893,650_0_0_6_10_2_3_0_0_0_0_0_0_0_
0.0,671,2652.50668,0,50.926167,8e-06,652_0_3_6_5_2_3_0_0_0_0_0_0_0_
0.0,671,2660.431082,0,37.796528,0.000759,652_1_1_6_8_1_2_0_0_0_0_0_0_0_
0.0,671,2669.958907,0,37.192493,0.000647,656_2_0_4_6_0_3_0_0_0_0_0_0_0_
-1.0,342,2673.97805,0,17.363253,0.447412,326_1_0_4_5_2_3_1_0_0_0_0_0_0_
0.0,671,2681.754213,0,48.798416,0.005814,651_0_1_8_7_2_2_0_0_0_0_0_0_0_
0.0,671,2700.166333,0,52.628689,2.446242,653_0_1_6_7_2_2_0_0_0_0_0_0_0_
0.0,671,2714.915139,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2722.077073,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2729.298877,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2736.469874,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2743.291306,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2750.096187,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2756.971273,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2764.182041,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2771.397895,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2778.450322,0,562.366455,3.083815,664_0_0_3_1_3_0_0_0_0_0_0_0_0_
0.0,671,2786.214861,0,50.099792,2.469048,654_0_1_6_6_1_2_0_1_0_0_0_0_0_
0.0,671,2795.751855,0,58.739155,0.000602,654_0_2_4_6_1_4_0_0_0_0_0_0_0_
0.0,671,2803.263586,0,52.652184,2.553683,654_0_1_5_7_2_2_0_0_0_0_0_0_0_
0.0,671,2810.787032,0,59.051643,0.00132,653_0_1_4_7_3_3_0_0_0_0_0_0_0_
0.0,671,2820.165663,0,53.711655,0.007536,655_0_2_3_6_2_3_0_0_0_0_0_0_0_
0.0,671,2828.002395,0,37.777924,0.003107,659_1_2_1_4_2_2_0_0_0_0_0_0_0_
0.0,671,2835.760803,0,56.435486,0.001175,651_0_1_5_9_2_3_0_0_0_0_0_0_0_
0.0,671,2846.256563,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2853.27523,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2860.069344,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2866.880969,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2873.631372,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2880.483705,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2887.518465,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2894.557356,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2901.599555,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2908.657719,0,636.605774,3.019376,665_0_0_2_1_3_0_0_0_0_0_0_0_0_
0.0,671,2941.931612,0,53.149849,0.005821,659_1_2_0_4_1_4_0_0_0_0_0_0_0_
0.0,671,2949.763936,0,42.838985,0.990044,653_1_2_5_7_0_3_0_0_0_0_0_0_0_
0.0,671,2957.489216,0,67.958755,2.261425,657_0_1_1_6_2_4_0_0_0_0_0_0_0_
0.0,671,2967.032715,0,53.740742,0.002523,656_0_2_3_5_2_3_0_0_0_0_0_0_0_
0.0,671,2974.7522,0,57.520824,2.749227,655_0_2_1_8_2_3_0_0_0_0_0_0_0_
0.0,671,2982.24286,0,66.716774,0.007102,656_0_1_1_6_3_4_0_0_0_0_0_0_0_
0.0,671,3001.078386,0,60.258327,2.567913,653_0_1_5_7_2_3_0_0_0_0_0_0_0_
0.0,671,3011.802419,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3018.970794,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3026.027761,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3033.08366,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3040.017499,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3046.814873,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3053.634707,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3060.547103,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3067.638686,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3074.664694,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3082.588969,0,58.775139,0.008621,657_0_2_1_6_1_4_0_0_0_0_0_0_0_
0.0,671,3090.466788,0,69.442291,0.001492,655_0_0_3_6_3_4_0_0_0_0_0_0_0_
-1.0,248,3095.109179,0,2.36787,2.303547,235_0_1_1_5_1_4_1_0_0_0_0_0_0_
0.0,671,3102.704987,0,64.249474,0.000703,654_0_0_5_7_1_4_0_0_0_0_0_0_0_
0.0,671,3110.173989,0,67.93679,2.343225,655_0_1_2_7_2_4_0_0_0_0_0_0_0_
0.0,671,3119.46788,0,68.067749,2.341537,654_0_0_4_7_1_4_0_1_0_0_0_0_0_
0.0,671,3127.308644,0,62.998528,2.553272,651_0_0_5_10_2_3_0_0_0_0_0_0_0_
-1.0,296,3130.81697,0,0.254095,2.253866,279_0_0_3_7_2_5_0_0_0_0_0_0_0_
0.0,671,3142.960783,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3150.030615,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3156.976304,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3163.804396,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3170.612917,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3177.469654,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3184.640657,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3191.616378,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3198.666511,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
0.0,671,3205.674703,0,628.789856,2.570342,661_0_0_5_5_0_0_0_0_0_0_0_0_0_
